,i,name,SMILES
0,0,H(14) + O2(2) <=> OH(15) + O(5),[H]+[O][O]_[OH]+[O]
1,1,H2(13) + O(5) <=> H(14) + OH(15),[H][H]+[O]_[H]+[OH]
2,2,H2(13) + OH(15) <=> H2O(8) + H(14),[H][H]+[OH]_O+[H]
3,3,OH(15) + OH(15) <=> H2O(8) + O(5),[OH]+[OH]_O+[O]
4,4,H2(13) <=> H(14) + H(14),[H][H]_[H]+[H]
5,5,Ar + H2(13) <=> Ar + H(14) + H(14),[Ar]+[H][H]_[Ar]+[H]+[H]
6,6,H2(13) + He <=> H(14) + H(14) + He,[H][H]+[He]_[H]+[H]+[He]
7,7,O(5) + O(5) <=> O2(2),[O]+[O]_[O][O]
8,8,Ar + O(5) + O(5) <=> Ar + O2(2),[Ar]+[O]+[O]_[Ar]+[O][O]
9,9,He + O(5) + O(5) <=> He + O2(2),[He]+[O]+[O]_[He]+[O][O]
10,10,H(14) + O(5) <=> OH(15),[H]+[O]_[OH]
11,11,H2O(8) <=> H(14) + OH(15),O_[H]+[OH]
12,12,H2O(8) + H2O(8) <=> H2O(8) + H(14) + OH(15),O+O_O+[H]+[OH]
13,13,H(14) + O2(2) <=> HO2(16),[H]+[O][O]_[O]O
14,14,H(14) + HO2(16) <=> H2(13) + O2(2),[H]+[O]O_[H][H]+[O][O]
15,15,H(14) + HO2(16) <=> OH(15) + OH(15),[H]+[O]O_[OH]+[OH]
16,16,O(5) + HO2(16) <=> OH(15) + O2(2),[O]+[O]O_[OH]+[O][O]
17,17,OH(15) + HO2(16) <=> H2O(8) + O2(2),[OH]+[O]O_O+[O][O]
18,18,HO2(16) + HO2(16) <=> H2O2(17) + O2(2),[O]O+[O]O_OO+[O][O]
19,19,H2O2(17) <=> OH(15) + OH(15),OO_[OH]+[OH]
20,20,H2O2(17) + H(14) <=> H2O(8) + OH(15),OO+[H]_O+[OH]
21,21,H2O2(17) + H(14) <=> H2(13) + HO2(16),OO+[H]_[H][H]+[O]O
22,22,H2O2(17) + O(5) <=> OH(15) + HO2(16),OO+[O]_[OH]+[O]O
23,23,H2O2(17) + OH(15) <=> H2O(8) + HO2(16),OO+[OH]_O+[O]O
24,24,H(14) + HO2(16) <=> H2O(8) + O(5),[H]+[O]O_O+[O]
25,25,H(14) + HO2(16) <=> H2O2(17),[H]+[O]O_OO
26,26,OH(15) + OH(15) <=> H2(13) + O2(2),[OH]+[OH]_[H][H]+[O][O]
27,27,H2O(8) + O(5) <=> H2(13) + O2(2),O+[O]_[H][H]+[O][O]
28,28,H2O2(17) + O(5) <=> H2O(8) + O2(2),OO+[O]_O+[O][O]
29,29,OH(15) + O(5) <=> HO2(16),[OH]+[O]_[O]O
30,30,C2H4(11) + O(5) <=> CH3(18) + HCO(19),C=C+[O]_[CH3]+[CH]=O
31,31,C2H4(11) + O(5) <=> CH3CO(20) + H(14),C=C+[O]_C[C]=O+[H]
32,32,C2H4(11) + O(5) <=> CH2CHO(21) + H(14),C=C+[O]_[CH2]C=O+[H]
33,33,C2H4(11) + O(5) <=> C2H3(22) + OH(15),C=C+[O]_[CH]=C+[OH]
34,34,C2H4(11) + O(5) <=> CH2O(9) + CH2(23),C=C+[O]_C=O+[CH2]
35,35,C2H4(11) + O(5) <=> CH2CO(24) + H2(13),C=C+[O]_C=C=O+[H][H]
36,36,C2H4(11) + O(5) <=> CH4(10) + CO(6),C=C+[O]_C+[C-]#[O+]
37,37,C2H4(11) + O(5) <=> C2H2(25) + H2O(8),C=C+[O]_C#C+O
38,38,CH2(23) + CH2(23) <=> C2H2(25) + H(14) + H(14),[CH2]+[CH2]_C#C+[H]+[H]
39,39,C2H2(25) + OH(15) <=> CH2CO(24) + H(14),C#C+[OH]_C=C=O+[H]
40,40,C2H3(22) + OH(15) <=> CH3(18) + HCO(19),[CH]=C+[OH]_[CH3]+[CH]=O
41,41,C2H3(22) + OH(15) <=> CH3CO(20) + H(14),[CH]=C+[OH]_C[C]=O+[H]
42,42,CH2CHO(21) + H(14) <=> CH3(18) + HCO(19),[CH2]C=O+[H]_[CH3]+[CH]=O
43,43,CH2CHO(21) + H(14) <=> CH3CO(20) + H(14),[CH2]C=O+[H]_C[C]=O+[H]
44,44,CH3CO(20) + H(14) <=> CH3(18) + HCO(19),C[C]=O+[H]_[CH3]+[CH]=O
45,45,CH3CO(20) <=> CH2CO(24) + H(14),C[C]=O_C=C=O+[H]
46,46,C2H2(25) + HO2(16) <=> CH2CO(24) + OH(15),C#C+[O]O_C=C=O+[OH]
47,47,CH2(23) + C2H3(22) <=> C2H2(25) + CH3(18),[CH2]+[CH]=C_C#C+[CH3]
48,48,C2H3(22) + HO2(16) <=> CH2CHO(21) + OH(15),[CH]=C+[O]O_[CH2]C=O+[OH]
49,49,C2H3(22) + O2(2) <=> C2H2(25) + HO2(16),[CH]=C+[O][O]_C#C+[O]O
50,50,CH3CO(20) + O2(2) <=> CH2CO(24) + HO2(16),C[C]=O+[O][O]_C=C=O+[O]O
51,51,CH2(23) + O2(2) <=> HCO(19) + OH(15),[CH2]+[O][O]_[CH]=O+[OH]
52,52,CH2CHO(21) + O2(2) <=> CH2CO(24) + HO2(16),[CH2]C=O+[O][O]_C=C=O+[O]O
53,53,C2H3(22) + O2(2) <=> CH2CO(24) + OH(15),[CH]=C+[O][O]_C=C=O+[OH]
54,54,C2H2(25) + O2(2) <=> HCO(19) + HCO(19),C#C+[O][O]_[CH]=O+[CH]=O
55,55,CH(3) + OH(15) <=> HCO(19) + H(14),[CH]+[OH]_[CH]=O+[H]
56,56,CH2(23) + CH(3) <=> C2H2(25) + H(14),[CH2]+[CH]_C#C+[H]
57,57,CH3(18) + CH(3) <=> C2H3(22) + H(14),[CH3]+[CH]_[CH]=C+[H]
58,58,CH2(23) <=> CH(3) + H(14),[CH2]_[CH]+[H]
59,59,CH(3) + C2H3(22) <=> C2H2(25) + CH2(23),[CH]+[CH]=C_C#C+[CH2]
60,60,CH2CHO(21) + CH(3) <=> C2H3(22) + HCO(19),[CH2]C=O+[CH]_[CH]=C+[CH]=O
61,61,C2H3(22) + C2H(4) <=> C2H2(25) + C2H2(25),[CH]=C+[C]#C_C#C+C#C
62,62,CH(3) + O2(2) <=> HCO(19) + O(5),[CH]+[O][O]_[CH]=O+[O]
63,63,CH2CO(24) + O(5) <=> HCO(19) + HCO(19),C=C=O+[O]_[CH]=O+[CH]=O
64,64,C2H3(22) + O(5) <=> CH2CO(24) + H(14),[CH]=C+[O]_C=C=O+[H]
65,65,C2H3(22) + O2(2) <=> CH2CHO(21) + O(5),[CH]=C+[O][O]_[CH2]C=O+[O]
66,66,CH3CO(20) + O(5) <=> CH2CO(24) + OH(15),C[C]=O+[O]_C=C=O+[OH]
67,67,C2H2(25) + HO2(16) <=> CH2CHO(21) + O(5),C#C+[O]O_[CH2]C=O+[O]
68,68,HCO(19) <=> CO(6) + H(14),[CH]=O_[H]+[C-]#[O+]
69,69,HCO(19) + O(5) <=> CO(6) + OH(15),[CH]=O+[O]_[OH]+[C-]#[O+]
70,70,HCO(19) + O2(2) <=> CO(6) + HO2(16),[CH]=O+[O][O]_[O]O+[C-]#[O+]
71,71,CH(3) + O(5) <=> CO(6) + H(14),[CH]+[O]_[H]+[C-]#[O+]
72,72,CH(3) + O2(2) <=> CO(6) + OH(15),[CH]+[O][O]_[OH]+[C-]#[O+]
73,73,CH(3) + O2(2) <=> CO(6) + H(14) + O(5),[CH]+[O][O]_[H]+[O]+[C-]#[O+]
74,74,CH2(23) + O(5) <=> CO(6) + H(14) + H(14),[CH2]+[O]_[H]+[H]+[C-]#[O+]
75,75,CH2(23) + O2(2) <=> CO(6) + H(14) + OH(15),[CH2]+[O][O]_[H]+[OH]+[C-]#[O+]
76,76,C2H(4) + O(5) <=> CO(6) + CH(3),[C]#C+[O]_[CH]+[C-]#[O+]
77,77,C2H(4) + O2(2) <=> CO(6) + HCO(19),[C]#C+[O][O]_[CH]=O+[C-]#[O+]
78,78,C2H2(25) + O(5) <=> CO(6) + CH2(23),C#C+[O]_[CH2]+[C-]#[O+]
79,79,C2H2(25) + OH(15) <=> CO(6) + CH3(18),C#C+[OH]_[CH3]+[C-]#[O+]
80,80,CO(6) + CH2(23) <=> CH2CO(24),[CH2]+[C-]#[O+]_C=C=O
81,81,CH2CO(24) + H(14) <=> CO(6) + CH3(18),C=C=O+[H]_[CH3]+[C-]#[O+]
82,82,CH2CO(24) + CH(3) <=> CO(6) + C2H3(22),C=C=O+[CH]_[CH]=C+[C-]#[O+]
83,83,CH2CHO(21) <=> CO(6) + CH3(18),[CH2]C=O_[CH3]+[C-]#[O+]
84,84,CH3CO(20) + OH(15) <=> CO(6) + CH3(18) + OH(15),C[C]=O+[OH]_[CH3]+[OH]+[C-]#[O+]
85,85,C2H2(25) + HCO(19) <=> CO(6) + C2H3(22),C#C+[CH]=O_[CH]=C+[C-]#[O+]
86,86,CH2CO(24) + O(5) <=> CO(6) + HCO(19) + H(14),C=C=O+[O]_[CH]=O+[H]+[C-]#[O+]
87,87,C2H(4) + OH(15) <=> CO(6) + CH2(23),[C]#C+[OH]_[CH2]+[C-]#[O+]
88,88,C2H3(22) + O(5) <=> CO(6) + CH3(18),[CH]=C+[O]_[CH3]+[C-]#[O+]
89,89,CH2(23) + HCO(19) <=> CO(6) + CH3(18),[CH2]+[CH]=O_[CH3]+[C-]#[O+]
90,90,CH(3) + OH(15) <=> CO(6) + H(14) + H(14),[CH]+[OH]_[H]+[H]+[C-]#[O+]
91,91,C2H2(25) + O2(2) <=> CO(6) + HCO(19) + H(14),C#C+[O][O]_[CH]=O+[H]+[C-]#[O+]
92,92,C2H(4) + O2(2) <=> CO(6) + CO(6) + H(14),[C]#C+[O][O]_[H]+[C-]#[O+]+[C-]#[O+]
93,93,CH3CO(20) + H(14) <=> CO(6) + CH3(18) + H(14),C[C]=O+[H]_[CH3]+[H]+[C-]#[O+]
94,94,CH2CHO(21) + H(14) <=> CO(6) + CH3(18) + H(14),[CH2]C=O+[H]_[CH3]+[H]+[C-]#[O+]
95,95,CH2CHO(21) + CH(3) <=> CO(6) + C2H3(22) + H(14),[CH2]C=O+[CH]_[CH]=C+[H]+[C-]#[O+]
96,96,CO(6) + O(5) <=> CO2(7),[O]+[C-]#[O+]_O=C=O
97,97,CO(6) + O2(2) <=> CO2(7) + O(5),[O][O]+[C-]#[O+]_O=C=O+[O]
98,98,CO(6) + OH(15) <=> CO2(7) + H(14),[OH]+[C-]#[O+]_O=C=O+[H]
99,99,CO(6) + HO2(16) <=> CO2(7) + OH(15),[O]O+[C-]#[O+]_O=C=O+[OH]
100,100,HCO(19) + O(5) <=> CO2(7) + H(14),[CH]=O+[O]_O=C=O+[H]
101,101,CH(3) + O2(2) <=> CO2(7) + H(14),[CH]+[O][O]_O=C=O+[H]
102,102,CO2(7) + CH(3) <=> CO(6) + HCO(19),O=C=O+[CH]_[CH]=O+[C-]#[O+]
103,103,CH2(23) + O2(2) <=> CO2(7) + H(14) + H(14),[CH2]+[O][O]_O=C=O+[H]+[H]
104,104,CH2CO(24) + O(5) <=> CO2(7) + CH2(23),C=C=O+[O]_O=C=O+[CH2]
105,105,CH2CO(24) + OH(15) <=> CO2(7) + CH3(18),C=C=O+[OH]_O=C=O+[CH3]
106,106,CH2CHO(21) + O(5) <=> CO2(7) + CH2(23) + H(14),[CH2]C=O+[O]_O=C=O+[CH2]+[H]
107,107,CH3CO(20) + O(5) <=> CO2(7) + CH3(18),C[C]=O+[O]_O=C=O+[CH3]
108,108,CH3CO(20) + HO2(16) <=> CO2(7) + CH3(18) + OH(15),C[C]=O+[O]O_O=C=O+[CH3]+[OH]
109,109,HCO(19) + HO2(16) => CO2(7) + H(14) + OH(15),[CH]=O+[O]O_O=C=O+[H]+[OH]
110,110,C2H3(22) + O2(2) <=> CO2(7) + CH3(18),[CH]=C+[O][O]_O=C=O+[CH3]
111,111,CO2(7) + CH(3) <=> CO(6) + CO(6) + H(14),O=C=O+[CH]_[H]+[C-]#[O+]+[C-]#[O+]
112,112,C2H2(25) + HO2(16) <=> CO2(7) + CH3(18),C#C+[O]O_O=C=O+[CH3]
113,113,HCO(19) + OH(15) <=> H2O(8) + CO(6),[CH]=O+[OH]_O+[C-]#[O+]
114,114,CH2(23) + OH(15) <=> H2O(8) + CH(3),[CH2]+[OH]_O+[CH]
115,115,CH2(23) + O2(2) <=> H2O(8) + CO(6),[CH2]+[O][O]_O+[C-]#[O+]
116,116,CH3(18) + OH(15) <=> H2O(8) + CH2(23),[CH3]+[OH]_O+[CH2]
117,117,C2H2(25) + OH(15) <=> H2O(8) + C2H(4),C#C+[OH]_O+[C]#C
118,118,C2H3(22) + OH(15) <=> C2H2(25) + H2O(8),[CH]=C+[OH]_C#C+O
119,119,CH2CHO(21) + OH(15) <=> CH2CO(24) + H2O(8),[CH2]C=O+[OH]_C=C=O+O
120,120,CH3CO(20) + OH(15) <=> CH2CO(24) + H2O(8),C[C]=O+[OH]_C=C=O+O
121,121,H2O(8) + H(14) + O2(2) <=> H2O(8) + HO2(16),O+[H]+[O][O]_O+[O]O
122,122,H2O(8) + CH(3) <=> CH2O(9) + H(14),O+[CH]_C=O+[H]
123,123,CH2(23) + OH(15) <=> CH2O(9) + H(14),[CH2]+[OH]_C=O+[H]
124,124,CH2(23) + HO2(16) <=> CH2O(9) + OH(15),[CH2]+[O]O_C=O+[OH]
125,125,CH2(23) + O2(2) <=> CH2O(9) + O(5),[CH2]+[O][O]_C=O+[O]
126,126,CH2O(9) + O(5) <=> HCO(19) + OH(15),C=O+[O]_[CH]=O+[OH]
127,127,CH2O(9) + OH(15) <=> H2O(8) + HCO(19),C=O+[OH]_O+[CH]=O
128,128,CH2O(9) + O2(2) <=> HCO(19) + HO2(16),C=O+[O][O]_[CH]=O+[O]O
129,129,CH2O(9) + HO2(16) <=> H2O2(17) + HCO(19),C=O+[O]O_OO+[CH]=O
130,130,CH2O(9) + CH(3) <=> CH2CO(24) + H(14),C=O+[CH]_C=C=O+[H]
131,131,CH2O(9) + CH2(23) <=> CH3(18) + HCO(19),C=O+[CH2]_[CH3]+[CH]=O
132,132,CH2O(9) + C2H(4) <=> C2H2(25) + HCO(19),C=O+[C]#C_C#C+[CH]=O
133,133,CH3(18) + O(5) <=> CH2O(9) + H(14),[CH3]+[O]_C=O+[H]
134,134,CH3(18) + O2(2) <=> CH2O(9) + OH(15),[CH3]+[O][O]_C=O+[OH]
135,135,CH2CO(24) + O(5) <=> CH2O(9) + CO(6),C=C=O+[O]_C=O+[C-]#[O+]
136,136,C2H3(22) + O2(2) <=> CH2O(9) + HCO(19),[CH]=C+[O][O]_C=O+[CH]=O
137,137,CH2CHO(21) + O2(2) <=> CH2O(9) + CO(6) + OH(15),[CH2]C=O+[O][O]_C=O+[OH]+[C-]#[O+]
138,138,HCO(19) + HCO(19) <=> CH2O(9) + CO(6),[CH]=O+[CH]=O_C=O+[C-]#[O+]
139,139,C2H3(22) + O2(2) <=> CH2O(9) + CO(6) + H(14),[CH]=C+[O][O]_C=O+[H]+[C-]#[O+]
140,140,CO2(7) + CH2(23) <=> CH2O(9) + CO(6),O=C=O+[CH2]_C=O+[C-]#[O+]
141,141,CH2O(9) + O(5) <=> CO(6) + H(14) + OH(15),C=O+[O]_[H]+[OH]+[C-]#[O+]
142,142,CH2O(9) + O2(2) <=> CO(6) + H(14) + HO2(16),C=O+[O][O]_[H]+[O]O+[C-]#[O+]
143,143,CH2O(9) + OH(15) <=> H2O(8) + CO(6) + H(14),C=O+[OH]_O+[H]+[C-]#[O+]
144,144,CH2O(9) + HO2(16) <=> H2O2(17) + CO(6) + H(14),C=O+[O]O_OO+[H]+[C-]#[O+]
145,145,C2H2(25) + HO2(16) <=> CH2O(9) + HCO(19),C#C+[O]O_C=O+[CH]=O
146,146,C2H2(25) + HO2(16) <=> CH2O(9) + CO(6) + H(14),C#C+[O]O_C=O+[H]+[C-]#[O+]
147,147,CH3CO(20) + O2(2) <=> CH2O(9) + CO(6) + OH(15),C[C]=O+[O][O]_C=O+[OH]+[C-]#[O+]
148,148,CH2CHO(21) + O(5) <=> CH2O(9) + HCO(19),[CH2]C=O+[O]_C=O+[CH]=O
149,149,CH2CHO(21) + O(5) <=> CH2O(9) + CO(6) + H(14),[CH2]C=O+[O]_C=O+[H]+[C-]#[O+]
150,150,CH2CHO(21) + HO2(16) <=> CH2O(9) + HCO(19) + OH(15),[CH2]C=O+[O]O_C=O+[CH]=O+[OH]
151,151,CH3(18) + HO2(16) <=> CH4(10) + O2(2),[CH3]+[O]O_C+[O][O]
152,152,CH3(18) + HCO(19) <=> CH4(10) + CO(6),[CH3]+[CH]=O_C+[C-]#[O+]
153,153,CH2O(9) + CH3(18) <=> CH4(10) + HCO(19),C=O+[CH3]_C+[CH]=O
154,154,CH4(10) + O(5) <=> CH3(18) + OH(15),C+[O]_[CH3]+[OH]
155,155,CH4(10) + OH(15) <=> H2O(8) + CH3(18),C+[OH]_O+[CH3]
156,156,CH4(10) + HO2(16) <=> H2O2(17) + CH3(18),C+[O]O_OO+[CH3]
157,157,CH4(10) + CH2(23) <=> CH3(18) + CH3(18),C+[CH2]_[CH3]+[CH3]
158,158,CH4(10) + C2H(4) <=> C2H2(25) + CH3(18),C+[C]#C_C#C+[CH3]
159,159,CH3(18) + C2H3(22) <=> CH4(10) + C2H2(25),[CH3]+[CH]=C_C+C#C
160,160,CH3CO(20) + CH3(18) <=> CH4(10) + CH2CO(24),C[C]=O+[CH3]_C+C=C=O
161,161,CH2O(9) + CH3(18) <=> CH4(10) + CO(6) + H(14),C=O+[CH3]_C+[H]+[C-]#[O+]
162,162,CH2O(9) + C2H3(22) <=> C2H4(11) + HCO(19),C=O+[CH]=C_C=C+[CH]=O
163,163,CH2(23) + CH3(18) <=> C2H4(11) + H(14),[CH2]+[CH3]_C=C+[H]
164,164,CH4(10) + CH(3) <=> C2H4(11) + H(14),C+[CH]_C=C+[H]
165,165,C2H4(11) + OH(15) <=> H2O(8) + C2H3(22),C=C+[OH]_O+[CH]=C
166,166,C2H4(11) + OH(15) <=> CH2O(9) + CH3(18),C=C+[OH]_C=O+[CH3]
167,167,C2H4(11) + CH3(18) <=> CH4(10) + C2H3(22),C=C+[CH3]_C+[CH]=C
168,168,C2H4(11) + O2(2) <=> C2H3(22) + HO2(16),C=C+[O][O]_[CH]=C+[O]O
169,169,C2H3(22) + C2H3(22) <=> C2H2(25) + C2H4(11),[CH]=C+[CH]=C_C#C+C=C
170,170,C2H4(11) + O(5) <=> CO(6) + CH3(18) + H(14),C=C+[O]_[CH3]+[H]+[C-]#[O+]
171,171,CH2O(9) + C2H3(22) <=> C2H4(11) + CO(6) + H(14),C=O+[CH]=C_C=C+[H]+[C-]#[O+]
172,172,C2H3(22) + HCO(19) <=> C2H4(11) + CO(6),[CH]=C+[CH]=O_C=C+[C-]#[O+]
173,173,CH2(23) + CH2CHO(21) <=> C2H4(11) + HCO(19),[CH2]+[CH2]C=O_C=C+[CH]=O
174,174,CH2(23) + CH2CHO(21) <=> C2H4(11) + CO(6) + H(14),[CH2]+[CH2]C=O_C=C+[H]+[C-]#[O+]
175,175,CH3(18) + C2H3(22) <=> C3H6(12),[CH3]+[CH]=C_C=CC
176,176,C3H6(12) <=> CH3(18) + C2H3(22),C=CC_[CH3]+[CH]=C
177,177,C3H6(12) + O(5) => CH2CO(24) + CH3(18) + H(14),C=CC+[O]_C=C=O+[CH3]+[H]
178,178,C3H6(12) + H(14) <=> C2H4(11) + CH3(18),C=CC+[H]_C=C+[CH3]
179,179,HCO(19) + H(14) <=> CO(6) + H2(13),[CH]=O+[H]_[H][H]+[C-]#[O+]
180,180,CH(3) + H2(13) <=> CH2(23) + H(14),[CH]+[H][H]_[CH2]+[H]
181,181,CH(3) + H2(13) <=> CH3(18),[CH]+[H][H]_[CH3]
182,182,CH2(23) + H2(13) <=> CH3(18) + H(14),[CH2]+[H][H]_[CH3]+[H]
183,183,CH2(23) + O2(2) <=> CO2(7) + H2(13),[CH2]+[O][O]_O=C=O+[H][H]
184,184,CH2O(9) + H(14) <=> HCO(19) + H2(13),C=O+[H]_[CH]=O+[H][H]
185,185,CH3(18) + O(5) <=> CO(6) + H(14) + H2(13),[CH3]+[O]_[H]+[H][H]+[C-]#[O+]
186,186,CH3(18) + OH(15) <=> CH2O(9) + H2(13),[CH3]+[OH]_C=O+[H][H]
187,187,CH4(10) + H(14) <=> CH3(18) + H2(13),C+[H]_[CH3]+[H][H]
188,188,C2H(4) + H2(13) <=> C2H2(25) + H(14),[C]#C+[H][H]_C#C+[H]
189,189,C2H3(22) + H(14) <=> C2H2(25) + H2(13),[CH]=C+[H]_C#C+[H][H]
190,190,CH2CHO(21) + H(14) <=> CH2CO(24) + H2(13),[CH2]C=O+[H]_C=C=O+[H][H]
191,191,C2H4(11) + H(14) <=> C2H3(22) + H2(13),C=C+[H]_[CH]=C+[H][H]
192,192,HCO(19) + HCO(19) => CO(6) + CO(6) + H2(13),[CH]=O+[CH]=O_[H][H]+[C-]#[O+]+[C-]#[O+]
193,193,CH3CO(20) + H(14) <=> CH2CO(24) + H2(13),C[C]=O+[H]_C=C=O+[H][H]
194,194,CH2(23) + O(5) <=> CO(6) + H2(13),[CH2]+[O]_[H][H]+[C-]#[O+]
195,195,CH2(23) + CH2(23) <=> C2H2(25) + H2(13),[CH2]+[CH2]_C#C+[H][H]
196,196,C2H4(11) <=> C2H2(25) + H2(13),C=C_C#C+[H][H]
197,197,CH2O(9) + H(14) <=> CO(6) + H(14) + H2(13),C=O+[H]_[H]+[H][H]+[C-]#[O+]
198,198,CH3(18) + HCO(19) <=> CH2CO(24) + H2(13),[CH3]+[CH]=O_C=C=O+[H][H]
199,199,CH3(18) + CH3(18) <=> C2H5(33) + H(14),[CH3]+[CH3]_C[CH2]+[H]
200,200,C2H5(33) + H(14) <=> C2H4(11) + H2(13),C[CH2]+[H]_C=C+[H][H]
201,201,C2H5(33) + O(5) <=> CH2O(9) + CH3(18),C[CH2]+[O]_C=O+[CH3]
202,202,C2H5(33) + O(5) <=> C2H4(11) + OH(15),C[CH2]+[O]_C=C+[OH]
203,203,C2H5(33) + O2(2) <=> C2H4(11) + HO2(16),C[CH2]+[O][O]_C=C+[O]O
204,204,C2H5(33) + CH3(18) <=> CH4(10) + C2H4(11),C[CH2]+[CH3]_C+C=C
205,205,C2H4(11) + C2H4(11) <=> C2H5(33) + C2H3(22),C=C+C=C_C[CH2]+[CH]=C
206,206,CH2CO(24) + CH3(18) <=> C2H5(33) + CO(6),C=C=O+[CH3]_C[CH2]+[C-]#[O+]
207,207,C3H6(12) + O(5) <=> C2H5(33) + HCO(19),C=CC+[O]_C[CH2]+[CH]=O
208,208,butane(1) <=> C2H5(33) + C2H5(33),CCCC_C[CH2]+C[CH2]
209,209,C2H5(33) + OH(15) <=> C2H4(11) + H2O(8),C[CH2]+[OH]_C=C+O
210,210,C2H5(33) + HCO(19) <=> CH2CHO(21) + CH3(18),C[CH2]+[CH]=O_[CH2]C=O+[CH3]
211,211,H2O2(17) + C2H3(22) <=> C2H4(11) + HO2(16),OO+[CH]=C_C=C+[O]O
212,212,HCO(19) + HO2(16) <=> H2O2(17) + CO(6),[CH]=O+[O]O_OO+[C-]#[O+]
213,213,C2H5(33) + HO2(16) <=> C2H4(11) + H2O2(17),C[CH2]+[O]O_C=C+OO
214,214,CH2(23) + HO2(16) <=> CH3(18) + O2(2),[CH2]+[O]O_[CH3]+[O][O]
215,215,C2H5(33) + CH2(23) <=> C2H4(11) + CH3(18),C[CH2]+[CH2]_C=C+[CH3]
216,216,CH3CO(20) + C2H3(22) <=> C2H4(11) + CH2CO(24),C[C]=O+[CH]=C_C=C+C=C=O
217,217,CH2CHO(21) + C2H3(22) <=> C2H4(11) + CH2CO(24),[CH2]C=O+[CH]=C_C=C+C=C=O
218,218,C2H2(25) + O2(2) <=> C2H(4) + HO2(16),C#C+[O][O]_[C]#C+[O]O
219,219,C2H5(33) + HCO(19) <=> C2H4(11) + CH2O(9),C[CH2]+[CH]=O_C=C+C=O
220,220,CH3(18) <=> CH2(23) + H(14),[CH3]_[CH2]+[H]
221,221,CO(6) + CH3(18) <=> CH3CO(20),[CH3]+[C-]#[O+]_C[C]=O
222,222,CH2CHO(21) <=> CH3CO(20),[CH2]C=O_C[C]=O
223,223,CH2CHO(21) <=> CH2(23) + HCO(19),[CH2]C=O_[CH2]+[CH]=O
224,224,CH2CO(24) + H(14) <=> CH2CHO(21),C=C=O+[H]_[CH2]C=O
225,225,CH2CHO(21) <=> C2H3(22) + O(5),[CH2]C=O_[CH]=C+[O]
226,226,C2H2(25) + H(14) <=> C2H3(22),C#C+[H]_[CH]=C
227,227,C2H2(25) <=> C2H(4) + H(14),C#C_[C]#C+[H]
228,228,CH2O(9) <=> CO(6) + H2(13),C=O_[H][H]+[C-]#[O+]
229,229,CH2O(9) <=> HCO(19) + H(14),C=O_[CH]=O+[H]
230,230,CH3(18) + H(14) <=> CH4(10),[CH3]+[H]_C
231,231,C2H4(11) <=> C2H3(22) + H(14),C=C_[CH]=C+[H]
232,232,C2H5(33) <=> CH2(23) + CH3(18),C[CH2]_[CH2]+[CH3]
233,233,C2H4(11) + H(14) <=> C2H5(33),C=C+[H]_C[CH2]
234,234,NC3H7(92) + O2(2) <=> C3H6(12) + HO2(16),[CH2]CC+[O][O]_C=CC+[O]O
235,235,C3H6(12) + H(14) <=> NC3H7(92),C=CC+[H]_[CH2]CC
236,236,C2H4(11) + CH3(18) <=> NC3H7(92),C=C+[CH3]_[CH2]CC
237,237,butane(1) <=> NC3H7(92) + CH3(18),CCCC_[CH2]CC+[CH3]
238,238,CH3CO(20) <=> CH2(23) + HCO(19),C[C]=O_[CH2]+[CH]=O
239,239,CH3CO(20) <=> C2H3(22) + O(5),C[C]=O_[CH]=C+[O]
240,240,CH2CHO(21) <=> CO(6) + CH3(18),[CH2]C=O_[CH3]+[C-]#[O+]
241,241,NC3H7(92) <=> C2H5(33) + CH2(23),[CH2]CC_C[CH2]+[CH2]
242,242,SC4H9(183) + H(14) <=> butane(1),C[CH]CC+[H]_CCCC
243,243,butane(1) + O2(2) <=> SC4H9(183) + HO2(16),CCCC+[O][O]_C[CH]CC+[O]O
244,244,butane(1) + C2H3(22) <=> C2H4(11) + SC4H9(183),CCCC+[CH]=C_C=C+C[CH]CC
245,245,butane(1) + CH3(18) <=> CH4(10) + SC4H9(183),CCCC+[CH3]_C+C[CH]CC
246,246,butane(1) + H(14) <=> SC4H9(183) + H2(13),CCCC+[H]_C[CH]CC+[H][H]
247,247,butane(1) + OH(15) <=> SC4H9(183) + H2O(8),CCCC+[OH]_C[CH]CC+O
248,248,butane(1) + O(5) <=> SC4H9(183) + OH(15),CCCC+[O]_C[CH]CC+[OH]
249,249,butane(1) + HO2(16) <=> SC4H9(183) + H2O2(17),CCCC+[O]O_C[CH]CC+OO
250,250,SC4H9(183) <=> C3H6(12) + CH3(18),C[CH]CC_C=CC+[CH3]
251,251,CH2O(9) + SC4H9(183) <=> butane(1) + HCO(19),C=O+C[CH]CC_CCCC+[CH]=O
252,252,SC4H9(183) + CH3CO(20) <=> CH2CO(24) + butane(1),C[CH]CC+C[C]=O_C=C=O+CCCC
253,253,SC4H9(183) + CH2CHO(21) <=> CH2CO(24) + butane(1),C[CH]CC+[CH2]C=O_C=C=O+CCCC
254,254,SC4H9(183) + C2H3(22) <=> C2H2(25) + butane(1),C[CH]CC+[CH]=C_C#C+CCCC
255,255,SC4H9(183) + HCO(19) <=> butane(1) + CO(6),C[CH]CC+[CH]=O_CCCC+[C-]#[O+]
256,256,C2H5(33) + SC4H9(183) <=> C2H4(11) + butane(1),C[CH2]+C[CH]CC_C=C+CCCC
