i,name,SMILES,unique_string
3938,CH2CO(24) + C5H91-3(425) <=> HCCO(27) + C5H10-2(424),C=C=O+C=C[CH]CC_C#C[O]+CC=CCC,27+144=110+195
3939,C5H91-3(425) + C5H10-1(423) <=> C5H91-3(425) + C5H10-2(424),C=C[CH]CC+C=CCCC_C=C[CH]CC+CC=CCC,144+194=144+195
3940,C2H5CO(77) + C5H10-1(423) <=> C2H5CHO(76) + C5H91-3(425),CC[C]=O+C=CCCC_CCC=O+C=C[CH]CC,187+194=144+186
3941,C2H5CHO(76) + C5H91-3(425) <=> C2H5CO(77) + C5H10-2(424),CCC=O+C=C[CH]CC_CC[C]=O+CC=CCC,144+186=187+195
3942,CH3CO2(55) + C5H10-1(423) <=> CC(=O)O(1413) + C5H91-3(425),CC([O])=O+C=CCCC_CC(=O)O+C=C[CH]CC,183+194=144+232
3943,CH3CO2(55) + C5H10-2(424) <=> CC(=O)O(1413) + C5H91-3(425),CC([O])=O+CC=CCC_CC(=O)O+C=C[CH]CC,183+195=144+232
3944,C2H4O2H(50) + C5H10-1(423) <=> C2H5O2H(48) + C5H91-3(425),[CH2]COO+C=CCCC_CCOO+C=C[CH]CC,181+194=39+144
3945,OCHO(38) + C5H10-1(423) <=> HOCHO(40) + C5H91-3(425),[O]C=O+C=CCCC_O=CO+C=C[CH]CC,34+194=35+144
3946,OCHO(38) + C5H10-2(424) <=> HOCHO(40) + C5H91-3(425),[O]C=O+CC=CCC_O=CO+C=C[CH]CC,34+195=35+144
3947,CH2O2H(292) + C5H10-1(423) <=> CH3O2H(46) + C5H91-3(425),[CH2]OO+C=CCCC_COO+C=C[CH]CC,190+194=37+144
3948,CH2O2H(292) + C5H10-2(424) <=> CH3O2H(46) + C5H91-3(425),[CH2]OO+CC=CCC_COO+C=C[CH]CC,190+195=37+144
3949,C4H71-4(192) + CC1OOCC(O[O])O1(4071) <=> C4H6(195) + CC1OOCC(OO)O1(4088),[CH2]CC=C+CC1OOCC(O[O])O1_C=CC=C+CC1OOCC(OO)O1,64+240=66+243
3950,C4H71-3(191) + CC1OOCC(O[O])O1(4071) <=> C4H6(195) + CC1OOCC(OO)O1(4088),C=C[CH]C+CC1OOCC(O[O])O1_C=CC=C+CC1OOCC(OO)O1,63+240=66+243
3951,CCC=CCO[O](22295) <=> HO2(16) + CdCCdCC(334),CCC=CCO[O]_[O]O+C=CC=CC,260=19+146
3952,O2(2) + C5H91-3(425) <=> CCC=CCO[O](22295),[O][O]+C=C[CH]CC_CCC=CCO[O],5+144=260
3953,C=CC(CC)O[O](17977) <=> CCC=CCO[O](22295),C=CC(CC)O[O]_CCC=CCO[O],259=260
3954,OH(15) + C5H9O1-3(430) <=> HO2(16) + C5H91-3(425),[OH]+C=CC([O])CC_[O]O+C=C[CH]CC,18+198=19+144
