i,name,SMILES,unique_string
0,H(14) + O2(2) <=> OH(15) + O(5),[H]+[O][O]_[OH]+[O],5+17=8+18
1,H2(13) + O(5) <=> H(14) + OH(15),[H][H]+[O]_[H]+[OH],8+16=17+18
2,H2(13) + OH(15) <=> H2O(8) + H(14),[H][H]+[OH]_O+[H],16+18=11+17
3,OH(15) + OH(15) <=> H2O(8) + O(5),[OH]+[OH]_O+[O],18+18=8+11
4,H2(13) <=> H(14) + H(14),[H][H]_[H]+[H],16=17+17
5,Ar + H2(13) <=> Ar + H(14) + H(14),[Ar]+[H][H]_[Ar]+[H]+[H],1+16=1+17+17
6,H2(13) + He <=> H(14) + H(14) + He,[H][H]+[He]_[H]+[H]+[He],2+16=2+17+17
7,O(5) + O(5) <=> O2(2),[O]+[O]_[O][O],8+8=5
8,Ar + O(5) + O(5) <=> Ar + O2(2),[Ar]+[O]+[O]_[Ar]+[O][O],1+8+8=1+5
9,He + O(5) + O(5) <=> He + O2(2),[He]+[O]+[O]_[He]+[O][O],2+8+8=2+5
10,H(14) + O(5) <=> OH(15),[H]+[O]_[OH],8+17=18
11,H2O(8) <=> H(14) + OH(15),O_[H]+[OH],11=17+18
12,H2O(8) + H2O(8) <=> H2O(8) + H(14) + OH(15),O+O_O+[H]+[OH],11+11=11+17+18
13,H(14) + O2(2) <=> HO2(16),[H]+[O][O]_[O]O,5+17=19
14,H(14) + HO2(16) <=> H2(13) + O2(2),[H]+[O]O_[H][H]+[O][O],17+19=5+16
15,H(14) + HO2(16) <=> OH(15) + OH(15),[H]+[O]O_[OH]+[OH],17+19=18+18
16,O(5) + HO2(16) <=> OH(15) + O2(2),[O]+[O]O_[OH]+[O][O],8+19=5+18
17,OH(15) + HO2(16) <=> H2O(8) + O2(2),[OH]+[O]O_O+[O][O],18+19=5+11
18,HO2(16) + HO2(16) <=> H2O2(17) + O2(2),[O]O+[O]O_OO+[O][O],19+19=5+20
19,H2O2(17) <=> OH(15) + OH(15),OO_[OH]+[OH],20=18+18
20,H2O2(17) + H(14) <=> H2O(8) + OH(15),OO+[H]_O+[OH],17+20=11+18
21,H2O2(17) + H(14) <=> H2(13) + HO2(16),OO+[H]_[H][H]+[O]O,17+20=16+19
22,H2O2(17) + O(5) <=> OH(15) + HO2(16),OO+[O]_[OH]+[O]O,8+20=18+19
23,H2O2(17) + OH(15) <=> H2O(8) + HO2(16),OO+[OH]_O+[O]O,18+20=11+19
