,T,P,flame speed (cm/s),phi,X
39,300.0,101325.0,0.09359051380396556,1.6919999999999997,"{'butane(1)': 0.05183127848152967, 'O2(2)': 0.19911543151887878, 'N2': 0.7490532899995915}"
40,300.0,101325.0,0.08606893164284454,1.7199999999999998,"{'butane(1)': 0.052643852387337486, 'O2(2)': 0.1989447909986591, 'N2': 0.7484113566140034}"
41,300.0,101325.0,0.07926212942818256,1.7479999999999998,"{'butane(1)': 0.053455034745481335, 'O2(2)': 0.19877444270344893, 'N2': 0.7477705225510698}"
42,300.0,101325.0,0.07307593329501744,1.7759999999999998,"{'butane(1)': 0.054264829127479285, 'O2(2)': 0.19860438588322937, 'N2': 0.7471307849892914}"
43,300.0,101325.0,0.06735298392470258,1.8039999999999998,"{'butane(1)': 0.055073239092637706, 'O2(2)': 0.19843461979054608, 'N2': 0.7464921411168162}"
44,300.0,101325.0,0.062221628375311255,1.8319999999999999,"{'butane(1)': 0.05588026818810351, 'O2(2)': 0.19826514368049825, 'N2': 0.7458545881313982}"
45,300.0,101325.0,0.05755985316245191,1.8599999999999999,"{'butane(1)': 0.05668591994891591, 'O2(2)': 0.19809595681072767, 'N2': 0.7452181232403564}"
46,300.0,101325.0,0.05327476641354133,1.888,"{'butane(1)': 0.05749019789805814, 'O2(2)': 0.19792705844140782, 'N2': 0.7445827436605341}"
47,300.0,101325.0,0.049410122179223484,1.916,"{'butane(1)': 0.05829310554650873, 'O2(2)': 0.19775844783523316, 'N2': 0.7439484466182581}"
48,300.0,101325.0,0.045888297909821414,1.944,"{'butane(1)': 0.05909464639329265, 'O2(2)': 0.19759012425740854, 'N2': 0.7433152293492988}"
49,300.0,101325.0,0.042672555309170725,1.972,"{'butane(1)': 0.0598948239255321, 'O2(2)': 0.19742208697563826, 'N2': 0.7426830890988296}"
50,300.0,101325.0,0.039758736677626534,2.0,"{'butane(1)': 0.060693641618497114, 'O2(2)': 0.19725433526011563, 'N2': 0.7420520231213873}"
