,T,P,flame speed (cm/s),phi,X
0,300.0,101325.0,0.14510687824784355,0.6,"{'butane(1)': 0.019015997585270148, 'O2(2)': 0.20600664050709325, 'N2': 0.7749773619076364}"
1,300.0,101325.0,0.16298963277017534,0.628,"{'butane(1)': 0.019885763916114286, 'O2(2)': 0.205823989577616, 'N2': 0.7742902465062697}"
2,300.0,101325.0,0.18639826399955212,0.6559999999999999,"{'butane(1)': 0.02075398929759437, 'O2(2)': 0.20564166224750519, 'N2': 0.7736043484549004}"
3,300.0,101325.0,0.20875741811442214,0.6839999999999999,"{'butane(1)': 0.021620677821194402, 'O2(2)': 0.20545965765754917, 'N2': 0.7729196645212564}"
4,300.0,101325.0,0.23412715952440857,0.712,"{'butane(1)': 0.02248583356392642, 'O2(2)': 0.20527797495157546, 'N2': 0.7722361914844982}"
5,300.0,101325.0,0.2574997697032978,0.74,"{'butane(1)': 0.023349460588394384, 'O2(2)': 0.20509661327643716, 'N2': 0.7715539261351684}"
6,300.0,101325.0,0.279150753772529,0.768,"{'butane(1)': 0.024211562942857832, 'O2(2)': 0.20491557178199987, 'N2': 0.7708728652751423}"
7,300.0,101325.0,0.2993869994089226,0.7959999999999999,"{'butane(1)': 0.02507214466129506, 'O2(2)': 0.20473484962112803, 'N2': 0.7701930057175769}"
8,300.0,101325.0,0.318157928160259,0.824,"{'butane(1)': 0.025931209763466127, 'O2(2)': 0.20455444594967212, 'N2': 0.7695143442868617}"
9,300.0,101325.0,0.33602799781224024,0.852,"{'butane(1)': 0.02678876225497536, 'O2(2)': 0.2043743599264552, 'N2': 0.7688368778185696}"
10,300.0,101325.0,0.3512552029900665,0.8799999999999999,"{'butane(1)': 0.02764480612733365, 'O2(2)': 0.20419459071325993, 'N2': 0.7681606031594064}"
11,300.0,101325.0,0.3647224611376097,0.9079999999999999,"{'butane(1)': 0.028499345358020407, 'O2(2)': 0.2040151374748157, 'N2': 0.7674855171671638}"
12,300.0,101325.0,0.37677534757557235,0.9359999999999999,"{'butane(1)': 0.029352383910545114, 'O2(2)': 0.20383599937878552, 'N2': 0.7668116167106693}"
13,300.0,101325.0,0.3836942742850195,0.964,"{'butane(1)': 0.030203925734508627, 'O2(2)': 0.2036571755957532, 'N2': 0.7661388986697383}"
14,300.0,101325.0,0.3914995591939189,0.992,"{'butane(1)': 0.03105397476566413, 'O2(2)': 0.20347866529921052, 'N2': 0.7654673599351253}"
15,300.0,101325.0,0.3967917156927263,1.02,"{'butane(1)': 0.031902534925977784, 'O2(2)': 0.2033004676655447, 'N2': 0.7647969974084776}"
16,300.0,101325.0,0.39961861414404337,1.048,"{'butane(1)': 0.032749610123689, 'O2(2)': 0.2031225818740253, 'N2': 0.7641278080022856}"
17,300.0,101325.0,0.40077751181707527,1.076,"{'butane(1)': 0.03359520425337053, 'O2(2)': 0.2029450071067922, 'N2': 0.7634597886398373}"
18,300.0,101325.0,0.3981551687395215,1.104,"{'butane(1)': 0.034439321195988026, 'O2(2)': 0.2027677425488425, 'N2': 0.7627929362551694}"
19,300.0,101325.0,0.39226038246348044,1.132,"{'butane(1)': 0.03528196481895953, 'O2(2)': 0.2025907873880185, 'N2': 0.762127247793022}"
20,300.0,101325.0,0.38281303897562646,1.16,"{'butane(1)': 0.03612313897621448, 'O2(2)': 0.20241414081499498, 'N2': 0.7614627202087906}"
21,300.0,101325.0,0.3715862837011044,1.188,"{'butane(1)': 0.03696284750825249, 'O2(2)': 0.20223780202326697, 'N2': 0.7607993504684806}"
22,300.0,101325.0,0.3558242164575172,1.2159999999999997,"{'butane(1)': 0.03780109424220174, 'O2(2)': 0.20206177020913763, 'N2': 0.7601371355486606}"
23,300.0,101325.0,0.33731350353941914,1.2439999999999998,"{'butane(1)': 0.038637882991877225, 'O2(2)': 0.20188604457170578, 'N2': 0.759476072436417}"
24,300.0,101325.0,0.31497862121203873,1.2719999999999998,"{'butane(1)': 0.03947321755783849, 'O2(2)': 0.20171062431285394, 'N2': 0.7588161581293076}"
